序号	所属市	区县名称	"行政区域土地面积
(平方公里)（中国区域统计年鉴）"	市辖区与非市辖区面积（中国区域统计年鉴）	市级土地面积(平方公里)（中国区域统计年鉴）	市级土地面积（中国城市统计年鉴）	年末常住人口(万人) (湖南统计年鉴)	年末常住人口(万人) (湖南统计年鉴)	"年底总人口
(万人)（中国区域统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	用于计算人均GDP的人口数（万人）	用于计算人均GDP的人口数（万人）	人均GDP（湖南省统计年鉴)	人均GDP（湖南省统计年鉴)	地区生产总值(万元)（中国区域统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（中国区域统计年鉴）	第二产业（湖南统计年鉴）	第二产业（湖南统计年鉴）	第二产业（中国区域统计年鉴）	工业（湖南统计年鉴）	工业（湖南统计年鉴）	工业（中国区域统计年鉴）	第三产业（湖南统计年鉴）	第三产业（湖南统计年鉴）	第三产业（中国区域统计年鉴 	人均GDP（湖南省统计年鉴)	人均地区生产总值(元/人)（中国区域统计年鉴）
54	岳阳市	湘阴县	1582				68.09 	68.09 	75.94	1587368 	1587368 	67.6397 	67.6397 	23468 	23468 	1587368	337383 	337383 	337383	810488 	810488 	810488	745475 	745475 	745475	439497 	439497 	439497	23468 	23468
55	岳阳市	平江县	4125				94.76 	94.76 	106.82	1169663 	1169663 	93.3714 	93.3714 	12527 	12527 	1169663	279810 	279810 	279810	515717 	515717 	515717	452660 	452660 	452660	374136 	374136 	374136	12527 	12527
56	岳阳市	汨罗市	1562				69.21 	69.21 	75.69	1649361 	1649361 	61.7993 	61.7993 	26689 	26689 	1649361	255403 	255403 	255403	945881 	945881 	945881	886194 	886194 	886194	448077 	448077 	448077	26689 	26689
57	岳阳市	临湘市	1744				49.83 	49.83 	52.51	1155185 	1155185 	48.1608 	48.1608 	23986 	23986 	1155185	192840 	192840 	192840	623457 	623457 	623457	566789 	566789 	566789	338888 	338888 	338888	23986 	23986
58	常德市	武陵区	2749 	2749 	18190	18190	62.06 	145.74 		5333113 	6828918 	53.6201 	132.1607 	51671 	99461 		62396 	490316 		3281814 	3795519 		3158110 	3597793 		1988903 	2543083 		99461 	
59	常德市	鼎城区					83.68 			1495805 		78.5406 			19045 		427920 			513705 			439683 			554180 			19045 	
60	常德市	安乡县	1087	15441 			52.58 	52.58 	60.34	1015612 	1015612 	51.2495 	51.2495 	19817 	19817 	1015612	269561 	269561 	269561	279213 	279213 	279213	239901 	239901 	239901	466838 	466838 	466838	19817 	19817
61	常德市	汉寿县	2089				80.00 	80.00 	87.91	1165110 	1165110 	73.2497 	73.2497 	15906 	15906 	1165110	334765 	334765 	334765	352951 	352951 	352951	258174 	258174 	258174	477394 	477394 	477394	15906 	15906
62	常德市	澧县	2075				82.67 	82.67 	93.42	1502799 	1502799 	81.5586 	81.5586 	18426 	18426 	1502799	436051 	436051 	436051	531990 	531990 	531990	421339 	421339 	421339	534758 	534758 	534758	18426 	18426
63	常德市	临澧县	1204				40.08 	40.08 	45.29	783463 	783463 	40.6508 	40.6508 	19273 	19273 	783463	199096 	199096 	199096	275263 	275263 	275263	221303 	221303 	221303	309104 	309104 	309104	19273 	19273
64	常德市	桃源县	4458				85.37 	85.37 	98.74	1495127 	1495127 	85.9219 	85.9219 	17401 	17401 	1495127	530517 	530517 	530517	481173 	481173 	481173	418172 	418172 	418172	483437 	483437 	483437	17401 	17401
65	常德市	石门县	3970				59.93 	59.93 	68.43	1222254 	1222254 	59.6192 	59.6192 	20501 	20501 	1222254	321645 	321645 	321645	460905 	460905 	460905	418107 	418107 	418107	439704 	439704 	439704	20501 	20501
66	常德市	津市市	558				25.09 	25.09 	27.92	637243 	637243 	25.6704 	25.6704 	24824 	24824 	637243	129964 	129964 	129964	284341 	284341 	284341	265946 	265946 	265946	222938 	222938 	222938	24824 	24824
67	张家界市	永定区	2570 	2570 	9524	9516	44.18 	49.45 		1002351 	1237338 	42.7606 	48.0305 	25762 	23441 		98771 	108739 		229180 	235075 		171914 	173865 		674400 	893524 		23441 	
68	张家界市	武陵源区					5.27 			234987 		5.2699 			44590 		9968 			5895 			1951 			219124 			44590 	
69	张家界市	慈利县	3480	6954 			60.27 	60.27 	68.30	804282 	804282 	60.2684 	60.2684 	13345 	13345 	804282	149361 	149361 	149361	285561 	285561 	285561	241961 	241961 	241961	369360 	369360 	369360	13345 	13345
70	张家界市	桑植县	3474				38.09 	38.09 	45.70	395327 	395327 	39.9603 	39.9603 	9893 	9893 	395327	54158 	54158 	54158	94613 	94613 	94613	80341 	80341 	80341	246556 	246556 	246556	9893 	9893
71	益阳市	资阳区	1935 	1935 	12144	12144	40.91 	124.56 		639757 	2063249 	39.4498 	114.1111 	18081 	16217 		132006 	388783 		256396 	886074 		213208 	767672 		251355 	788392 		16217 	
72	益阳市	赫山区					83.65 			1423492 		74.6613 			19066 		256777 			629678 			554464 			537037 			19066 	
73	益阳市	南县	1406	10209 			72.53 	72.53 	79.91	878616 	878616 	62.1809 	62.1809 	14130 	14130 	878616	324050 	324050 	324050	197892 	197892 	197892	179196 	179196 	179196	356674 	356674 	356674	14130 	14130
74	益阳市	大通湖区					10.10 	10.10 		210612 	210612 	9.8800 	9.8800 	21317 	21317 		83736 	83736 		94631 	94631 		91288 	91288 		32245 	32245 		21317 	
75	益阳市	桃江县	2062				76.98 	76.98 	87.32	1065293 	1065293 	76.3706 	76.3706 	13949 	13949 	1065293	238647 	238647 	238647	472291 	472291 	472291	426304 	426304 	426304	354355 	354355 	354355	13949 	13949
76	益阳市	安化县	4944				90.09 	90.09 	101.13	885044 	885044 	89.1822 	89.1822 	9924 	9924 	885044	231453 	231453 	231453	318824 	318824 	318824	281374 	281374 	281374	334767 	334767 	334767	9924 	9924
77	益阳市	沅江市	1797				66.63 	66.63 	74.59	1231887 	1231887 	66.7003 	66.7003 	18469 	18469 	1231887	344486 	344486 	344486	463018 	463018 	463018	430255 	430255 	430255	424383 	424383 	424383	18469 	18469
78	郴州市	北湖区	2169 	2169 	19606	19699	41.99 	82.27 		1702311 	3142799 	38.8301 	77.9706 	40307 	43840 		68247 	155196 		776121 	1703993 		675511 	1522801 		857943 	1283610 		43840 	
79	郴州市	苏仙区					40.28 			1440488 		39.1405 			36803 		86949 			927872 			847290 			425667 			36803 	
80	郴州市	桂阳县	2954	17437 			69.69 	69.69 	86.20	1583783 	1583783 	70.4906 	70.4906 	22468 	22468 	1583783	255588 	255588 	255588	769157 	769157 	769157	731876 	731876 	731876	559038 	559038 	559038	22468 	22468
81	郴州市	宜章县	2143				57.93 	57.93 	61.51	682347 	682347 	54.6621 	54.6621 	12483 	12483 	682347	150477 	150477 	150477	385818 	385818 	385818	372479 	372479 	372479	146052 	146052 	146052	12483 	12483
82	郴州市	永兴县	1979				57.27 	57.27 	66.21	1518089 	1518089 	57.0710 	57.0710 	26600 	26600 	1518089	169944 	169944 	169944	938049 	938049 	938049	901482 	901482 	901482	410096 	410096 	410096	26600 	26600
83	郴州市	嘉禾县	899				29.68 	29.68 	40.21	679210 	679210 	30.5304 	30.5304 	22247 	22247 	679210	107967 	107967 	107967	335706 	335706 	335706	319433 	319433 	319433	235537 	235537 	235537	22247 	22247
84	郴州市	临武县	1375				33.85 	33.85 	37.51	588575 	588575 	31.9600 	31.9600 	18416 	18416 	588575	80308 	80308 	80308	288863 	288863 	288863	271530 	271530 	271530	219404 	219404 	219404	18416 	18416
85	郴州市	汝城县	2425				33.01 	33.01 	39.39	262807 	262807 	34.4484 	34.4484 	7629 	7629 	262807	70249 	70249 	70249	93268 	93268 	93268	81060 	81060 	81060	99290 	99290 	99290	7629 	7629
86	郴州市	桂东县	1453				22.65 	22.65 	20.83	137030 	137030 	21.3909 	21.3909 	6406 	6406 	137030	28920 	28920 	28920	42365 	42365 	42365	37601 	37601 	37601	65745 	65745 	65745	6406 	6406
